monday_date,week,block
2026-07-06,1,1
2026-07-13,2,1
2026-07-20,3,1
2026-07-27,4,1
2026-08-03,5,2
2026-08-10,6,2
2026-08-17,7,2
2026-08-24,8,2
2026-08-31,9,3
2026-09-07,10,3
2026-09-14,11,3
2026-09-21,12,3
2026-09-28,13,4
2026-10-05,14,4
2026-10-12,15,4
2026-10-19,16,4
2026-10-26,17,5
2026-11-02,18,5
2026-11-09,19,5
2026-11-16,20,5
2026-11-23,21,6
2026-11-30,22,6
2026-12-07,23,6
2026-12-14,24,6
2026-12-21,25,7
2026-12-28,26,7
2027-01-04,27,7
2027-01-11,28,7
2027-01-18,29,8
2027-01-25,30,8
2027-02-01,31,8
2027-02-08,32,8
2027-02-15,33,9
2027-02-22,34,9
2027-03-01,35,9
2027-03-08,36,9
2027-03-15,37,10
2027-03-22,38,10
2027-03-29,39,10
2027-04-05,40,10
2027-04-12,41,11
2027-04-19,42,11
2027-04-26,43,11
2027-05-03,44,11
2027-05-10,45,12
2027-05-17,46,12
2027-05-24,47,12
2027-05-31,48,12
2027-06-07,49,13
2027-06-14,50,13
2027-06-21,51,13
2027-06-28,52,13
